iau_abbreviation,resource_filename,source_url,local_path,byte_size,sha256,acquired_at_utc
CRV,crv.txt,https://iauarchive.eso.org/static/public/constellations/txt/crv.txt,raw/crv.txt,186,37018ebfc493a1f58fa91646661c9a7f3b4c7f87948080e259fec690a112985b,2026-09-15T23:38:17+00:00
CVN,cvn.txt,https://iauarchive.eso.org/static/public/constellations/txt/cvn.txt,raw/cvn.txt,464,db4e8d9d2dc427573a72b3b3b96cab4eccf7e34586158da9fc3926dde57e071b,2026-09-15T23:38:17+00:00
CYG,cyg.txt,https://iauarchive.eso.org/static/public/constellations/txt/cyg.txt,raw/cyg.txt,1023,9cce81e154d2baff01256581c7df52de6984193c3a961d536c379f0c1d013228,2026-09-15T23:38:17+00:00
DEL,del.txt,https://iauarchive.eso.org/static/public/constellations/txt/del.txt,raw/del.txt,464,32e9c00ded0e1c40ba669c57d0b32df7624d39df9531efec2dd94bc5a0c0e852,2026-09-15T23:38:17+00:00
DOR,dor.txt,https://iauarchive.eso.org/static/public/constellations/txt/dor.txt,raw/dor.txt,682,805044312fea09269470d0c6eea5bfaa6f9e2adfc2f697a331d8d61fa5897859,2026-09-15T23:38:17+00:00
DRA,dra.txt,https://iauarchive.eso.org/static/public/constellations/txt/dra.txt,raw/dra.txt,1549,837b6ca8995b1b2577df91efcf7c0fb5fd4d57b7fe24533ad909e2ea9f11ec48,2026-09-15T23:38:17+00:00
EQU,equ.txt,https://iauarchive.eso.org/static/public/constellations/txt/equ.txt,raw/equ.txt,279,18c65248d6a8ddc0d3f27f8fda588da99e16a6ccbeddd1068e4e536240c925a0,2026-09-15T23:38:17+00:00
ERI,eri.txt,https://iauarchive.eso.org/static/public/constellations/txt/eri.txt,raw/eri.txt,1426,392053124f7aa69436729ef55e8171bc20299faac8090d3f65c14fd2540b774b,2026-09-15T23:38:17+00:00
FOR,for.txt,https://iauarchive.eso.org/static/public/constellations/txt/for.txt,raw/for.txt,341,d545046b740d650a557f03ea83bad57c4c177a30058d813e30341a417d69ca83,2026-09-15T23:38:17+00:00
GEM,gem.txt,https://iauarchive.eso.org/static/public/constellations/txt/gem.txt,raw/gem.txt,744,c5b47b29155e1505b8e48de5671a550014ff34f79dbce334f15e0948b78d0d40,2026-09-15T23:38:17+00:00
