bayer_code,bayer,greek,suffix,con,proper,ra_h,dec_deg,mag,hyg_id,hip,hd,hr
Bet,β Del,β,,Del,Rotanev,20.625816,14.595087,3.64,101442,101769,196524,7882
Alp,α Dor,α,,Dor,,4.566598,-55.044975,3.3,21228,21281,29305,1465
Bet,β Dor,β,,Dor,,5.560421,-62.489825,3.76,26004,26069,37350,1922
Alp,α Dra,α,,Dra,Thuban,14.073165,64.37585,3.67,68537,68756,123299,5291
Bet,β Dra,β,,Dra,Rastaban,17.507213,52.301387,2.79,85410,85670,159181,6536
Alp,α Equ,α,,Equ,Kitalpha,21.263731,5.247845,3.92,104649,104987,202447,8131
Bet,β Equ,β,,Equ,,21.381559,6.81114,5.16,105229,105570,203562,8178
Alp,α Eri,α,,Eri,Achernar,1.628556,-57.236757,0.45,7574,7588,10144,472
Bet,β Eri,β,,Eri,Cursa,5.130829,-5.086446,2.78,23820,23875,33111,1666
Alp,α For,α,,For,Dalim,3.201249,-28.987618,3.8,14843,14879,20010,963
Bet,β For,β,,For,,2.818169,-32.405898,4.45,13114,13147,17652,841
Alp,α Gem,α,,Gem,Castor,7.576634,31.888276,1.58,36744,36850,60179,2891
Alp,α Gem,α,,Gem,Castor B,7.576827,31.89052,2.85,118485,,60178,2890
Bet,β Gem,β,,Gem,Pollux,7.755277,28.026199,1.16,37718,37826,62509,2990
Alp,α Gru,α,,Gru,Alnair,22.137209,-46.960975,1.73,108922,109268,209952,8425
Bet,β Gru,β,,Gru,Tiaki,22.711115,-46.884577,2.07,111768,112122,214952,8636
Alp1,α1 Her,α,1,Her,Rasalgethi,17.244125833,14.390372222,3.35,,84345,156014,6406
Alp2,α2 Her,α,2,Her,,17.244216944,14.389994444,5.322,,,156015,6407
Bet,β Her,β,,Her,Kornephoros,16.503668,21.489613,2.78,80571,80816,148856,6148
Alp,α Hor,α,,Hor,,4.233363,-42.294368,3.85,19697,19747,26967,1326
Bet,β Hor,β,,Hor,,2.979939,-64.071284,4.98,13850,13884,18866,909
Alp,α Hya,α,,Hya,Alphard,9.45979,-8.658603,1.99,46259,46390,81797,3748
Bet,β Hya,β,,Hya,,11.881813,-33.908124,4.29,57763,57936,103192,4552
Alp,α Hyi,α,,Hyi,,1.979451,-61.569859,2.86,9217,9236,12311,591
Bet,β Hyi,β,,Hyi,,0.427916,-77.254247,2.82,2016,2021,2151,98
Alp,α Ind,α,,Ind,,20.626116,-47.291502,3.11,101445,101772,196171,7869
Bet,β Ind,β,,Ind,,20.913498,-58.454155,3.67,102895,103227,198700,7986
Bet,β LMi,β,,LMi,,10.464727,36.707212,4.2,51089,51233,90537,4100
Alp,α Lac,α,,Lac,,22.521515,50.282491,3.76,110822,111169,213558,8585
Bet,β Lac,β,,Lac,,22.392675,52.229046,4.42,110192,110538,212496,8538
Alp,α Leo,α,,Leo,Regulus,10.139532,11.967207,1.36,49528,49669,87901,3982
Bet,β Leo,β,,Leo,Denebola,11.817663,14.57206,2.14,57459,57632,102647,4534
Alp,α Lep,α,,Lep,Arneb,5.545504,-17.822289,2.58,25920,25985,36673,1865
Bet,β Lep,β,,Lep,Nihal,5.470756,-20.759441,2.81,25542,25606,36079,1829
Alp1,α1 Lib,α,1,Lib,,14.844772492,-15.997235611,5.153,,72603,130819,5530
Alp2,α2 Lib,α,2,Lib,Zubenelgenubi,14.847975858,-16.041777778,2.741,,72622,130841,5531
Bet,β Lib,β,,Lib,Zubeneschamali,15.283449,-9.382917,2.61,74556,74785,135742,5685
Alp,α Lup,α,,Lup,,14.698823,-47.3882,2.3,71634,71860,129056,5469
Bet,β Lup,β,,Lup,,14.975537,-43.13396,2.68,73046,73273,132058,5571
Alp,α Lyn,α,,Lyn,,9.350925,34.392562,3.14,45728,45860,80493,3705
Alp,α Lyr,α,,Lyr,Vega,18.61564,38.783692,0.03,90979,91262,172167,7001
Bet,β Lyr,β,,Lyr,Sheliak,18.834665,33.362667,3.52,92133,92420,174638,7106
Alp,α Men,α,,Men,,6.170632,-74.753045,5.08,29198,29271,43834,2261
Bet,β Men,β,,Men,,5.045279,-71.3143,5.3,23412,23467,33285,1677
Alp,α Mic,α,,Mic,,20.8328,-33.779722,4.89,102500,102831,198232,7965
Bet,β Mic,β,,Mic,,20.866322,-33.177974,6.06,102659,102989,198529,7979
Alp,α Mon,α,,Mon,,7.687454,-9.551131,3.94,37340,37447,61935,2970
Bet,β Mon,β,,Mon,,6.480297,-7.033062,3.76,30794,30867,45725,2356
Alp,α Mus,α,,Mus,,12.619739,-69.135564,2.69,61392,61585,109668,4798
Bet,β Mus,β,,Mus,,12.771346,-68.108119,3.04,62127,62322,110879,4844
Alp,α Oct,α,,Oct,,21.078621,-77.023767,5.13,103708,104043,199532,8021
Bet,β Oct,β,,Oct,,22.767692,-81.381615,4.13,112050,112405,214846,8630
Alp,α Oph,α,,Oph,Rasalhague,17.582241,12.560035,2.08,85769,86032,159561,6556
Bet,β Oph,β,,Oph,Cebalrai,17.724543,4.567303,2.76,86475,86742,161096,6603
Alp,α Ori,α,,Ori,Betelgeuse,5.919529,7.407063,0.45,27919,27989,39801,2061
Bet,β Ori,β,,Ori,Rigel,5.242298,-8.20164,0.18,24378,24436,34085,1713
Alp,α Pav,α,,Pav,Peacock,20.427459,-56.73509,1.94,100425,100751,193924,7790
Bet,β Pav,β,,Pav,,20.749314,-66.203212,3.42,102064,102395,197051,7913
Alp,α Peg,α,,Peg,Markab,23.079348,15.205264,2.49,113603,113963,218045,8781
Bet,β Peg,β,,Peg,Scheat,23.062901,28.082789,2.44,113521,113881,217906,8775
