proper,bayer,con,ra_h,dec_deg,catalog_v,representative_vmax,brightness_basis,in_alpha_beta_layer,hyg_id,hip,hd,hr,best_instant_utc,best_date,iso,mag_class,new_non_alpha_beta
,Gam-2,Vel,8.158876,-47.336588,1.75,1.75,HYG v4.1 catalog V (stable baseline),no,39840,39953,68273,3207,2026-03-06 20:44,2026-03-07,2026-W10-6,2,yes
Alioth,Eps,UMa,12.900472,55.959821,1.76,1.76,HYG v4.1 catalog V (stable baseline),no,62757,62956,112185,4905,2026-05-21 16:58,2026-05-22,2026-W21-5,2,yes
Kaus Australis,Eps,Sgr,18.402868,-34.384616,1.79,1.79,HYG v4.1 catalog V (stable baseline),no,89906,90185,169022,6879,2026-08-11 06:05,2026-08-11,2026-W33-2,2,yes
Mirfak,Alp,Per,3.405378,49.86118,1.79,1.79,HYG v4.1 catalog V (stable baseline),yes,15824,15863,20902,1017,2026-12-27 08:20,2026-12-27,2026-W52-7,2,no
Dubhe,Alp,UMa,11.062155,61.751033,1.81,1.81,HYG v4.1 catalog V (stable baseline),yes,53905,54061,95689,4301,2026-04-23 06:59,2026-04-23,2026-W17-4,2,no
Wezen,Del,CMa,7.139857,-26.3932,1.83,1.83,HYG v4.1 catalog V (stable baseline),no,34354,34444,54605,2693,2026-02-18 15:59,2026-02-19,2026-W08-4,2,yes
Alkaid,Eta,UMa,13.792354,49.313265,1.85,1.85,HYG v4.1 catalog V (stable baseline),no,67088,67301,120315,5191,2026-06-03 20:51,2026-06-04,2026-W23-4,2,yes
Avior,Eps,Car,8.375236,-59.509483,1.86,1.86,HYG v4.1 catalog V (stable baseline),no,40921,41037,71129,3307,2026-03-10 09:02,2026-03-10,2026-W11-2,2,yes
Sargas,The,Sco,17.62198,-42.997824,1.86,1.86,HYG v4.1 catalog V (stable baseline),no,85965,86228,159532,6553,2026-07-30 01:25,2026-07-30,2026-W31-4,2,yes
Menkalinan,Bet,Aur,5.992149,44.947433,1.9,1.9,HYG v4.1 catalog V (stable baseline),yes,28288,28360,40183,2088,2026-02-01 06:53,2026-02-01,2026-W05-7,2,no
Atria,Alp,TrA,16.811077,-69.027715,1.91,1.91,HYG v4.1 catalog V (stable baseline),yes,82022,82273,150798,6217,2026-07-17 18:51,2026-07-18,2026-W29-6,2,no
Alhena,Gam,Gem,6.628528,16.399252,1.93,1.93,HYG v4.1 catalog V (stable baseline),no,31601,31681,47105,2421,2026-02-10 19:15,2026-02-11,2026-W07-3,2,yes
Alsephina,Del,Vel,8.745059,-54.708821,1.93,1.93,HYG v4.1 catalog V (stable baseline),no,42794,42913,74956,3485,2026-03-16 10:06,2026-03-16,2026-W12-1,2,yes
Peacock,Alp,Pav,20.427459,-56.73509,1.94,1.94,HYG v4.1 catalog V (stable baseline),yes,100425,100751,193924,7790,2026-09-13 10:17,2026-09-13,2026-W37-7,2,no
Polaris,Alp,UMi,2.52975,89.264109,1.97,1.97,HYG v4.1 catalog V (stable baseline),yes,11734,11767,8890,424,2026-12-15 12:06,2026-12-16,2026-W51-3,2,no
