messier,ra_h,best_instant_utc,best_date,iso
M97,11.246667,2026-04-25 04:12,2026-04-25,2026-W17-6
M98,12.230000,2026-05-11 12:08,2026-05-12,2026-W20-2
M99,12.313333,2026-05-12 20:09,2026-05-13,2026-W20-3
M100,12.381667,2026-05-13 22:00,2026-05-14,2026-W20-4
M101,14.053333,2026-06-08 01:58,2026-06-08,2026-W24-1
M102,15.108333,2026-06-22 21:26,2026-06-23,2026-W26-2
M103,1.553333,2026-12-01 13:58,2026-12-02,2026-W49-3
M104,12.666667,2026-05-18 03:49,2026-05-18,2026-W21-1
M105,10.796667,2026-04-19 01:46,2026-04-19,2026-W16-7
M106,12.316667,2026-05-12 21:21,2026-05-13,2026-W20-3
M107,16.541667,2026-07-13 18:49,2026-07-14,2026-W29-2
M108,11.191667,2026-04-25 08:32,2026-04-25,2026-W17-6
M109,11.960000,2026-05-07 09:50,2026-05-07,2026-W19-4
M110,0.673333,2026-11-19 17:05,2026-11-20,2026-W47-5
