proper,bayer,con,ra_h,dec_deg,catalog_v,representative_vmax,brightness_basis,in_alpha_beta_layer,hyg_id,hip,hd,hr
Polaris,Alp,UMi,2.52975,89.264109,1.97,1.97,HYG v4.1 catalog V (stable baseline),yes,11734,11767,8890,424
Mirzam,Bet,CMa,6.378329,-17.955918,1.98,1.98,HYG v4.1 catalog V (stable baseline),yes,30251,30324,44743,2294
Alphard,Alp,Hya,9.45979,-8.658603,1.99,1.99,HYG v4.1 catalog V (stable baseline),yes,46259,46390,81797,3748
Algieba,Gam-1,Leo,10.332873,19.841489,2.01,2.01,HYG v4.1 catalog V (stable baseline),no,50440,50583,89484,4057
Hamal,Alp,Ari,2.119555,23.462423,2.01,2.01,HYG v4.1 catalog V (stable baseline),yes,9861,9884,12929,617
Diphda,Bet,Cet,0.72649,-17.986605,2.04,2.04,HYG v4.1 catalog V (stable baseline),yes,3413,3419,4128,188
Nunki,Sig,Sgr,18.92109,-26.296722,2.05,2.05,HYG v4.1 catalog V (stable baseline),no,92564,92855,175191,7121
Menkent,The,Cen,14.111395,-36.369954,2.06,2.06,HYG v4.1 catalog V (stable baseline),no,68714,68933,123139,5288
Alpheratz,Alp,And,0.139791,29.090432,2.07,2.07,HYG v4.1 catalog V (stable baseline),yes,676,677,358,15
Kochab,Bet,UMi,14.845105,74.155505,2.07,2.07,HYG v4.1 catalog V (stable baseline),yes,72380,72607,131873,5563
Mirach,Bet,And,1.162194,35.620558,2.07,2.07,HYG v4.1 catalog V (stable baseline),yes,5436,5447,6860,337
Saiph,Kap,Ori,5.795941,-9.669605,2.07,2.07,HYG v4.1 catalog V (stable baseline),no,27298,27366,38771,2004
Tiaki,Bet,Gru,22.711115,-46.884577,2.07,2.07,HYG v4.1 catalog V (stable baseline),yes,111768,112122,214952,8636
Rasalhague,Alp,Oph,17.582241,12.560035,2.08,2.08,HYG v4.1 catalog V (stable baseline),yes,85769,86032,159561,6556
Algol,Bet,Per,3.136148,40.955648,2.09,2.09,HYG v4.1 catalog V (stable baseline),yes,14540,14576,19356,936
Almach,Gam-1,And,2.064984,42.329725,2.1,2.1,HYG v4.1 catalog V (stable baseline),no,9618,9640,12533,603
Denebola,Bet,Leo,11.817663,14.57206,2.14,2.14,HYG v4.1 catalog V (stable baseline),yes,57459,57632,102647,4534
Cih,Gam,Cas,0.945143,60.71674,2.15,2.15,HYG v4.1 catalog V (stable baseline),no,4417,4427,5394,264
,Gam,Cen,12.691971,-48.959888,2.2,2.2,HYG v4.1 catalog V (stable baseline),no,61739,61932,110304,4819
Aspidiske,Iot,Car,9.284838,-59.275229,2.21,2.21,HYG v4.1 catalog V (stable baseline),no,45425,45556,80404,3699
Naos,Zet,Pup,8.059737,-40.003148,2.21,2.21,HYG v4.1 catalog V (stable baseline),no,39318,39429,66811,3165
Alphecca,Alp,CrB,15.578128,26.714693,2.22,2.22,HYG v4.1 catalog V (stable baseline),yes,76035,76267,139006,5793
Mizar,Zet,UMa,13.398747,54.925362,2.23,2.23,HYG v4.1 catalog V (stable baseline),no,65173,65378,116656,5054
Sadr,Gam,Cyg,20.370473,40.256679,2.23,2.23,HYG v4.1 catalog V (stable baseline),no,100128,100453,194093,7796
Suhail,Lam,Vel,9.133268,-43.432589,2.23,2.23,HYG v4.1 catalog V (stable baseline),no,44689,44816,78647,3634
Eltanin,Gam,Dra,17.943437,51.488895,2.24,2.24,HYG v4.1 catalog V (stable baseline),no,87561,87833,164058,6705
Schedar,Alp,Cas,0.675116,56.537331,2.24,2.24,HYG v4.1 catalog V (stable baseline),yes,3172,3179,3712,168
Mintaka,Del,Ori,5.533445,-0.299092,2.25,2.25,HYG v4.1 catalog V (stable baseline),no,25865,25930,36486,1852
Caph,Bet,Cas,0.152887,59.14978,2.28,2.28,HYG v4.1 catalog V (stable baseline),yes,744,746,432,21
Dschubba,Del,Sco,16.005557,-22.62171,2.29,2.29,HYG v4.1 catalog V (stable baseline),no,78165,78401,143275,5953
,Eps,Cen,13.664796,-53.466394,2.29,2.29,HYG v4.1 catalog V (stable baseline),no,66447,66657,118716,5132
Larawag,Eps,Sco,16.83608,-34.293232,2.29,2.29,HYG v4.1 catalog V (stable baseline),no,82144,82396,151680,6241
,Alp,Lup,14.698823,-47.3882,2.3,2.3,HYG v4.1 catalog V (stable baseline),yes,71634,71860,129056,5469
,Eta,Cen,14.591786,-42.157824,2.33,2.33,HYG v4.1 catalog V (stable baseline),no,71125,71352,127972,5440
Merak,Bet,UMa,11.030677,56.382427,2.34,2.34,HYG v4.1 catalog V (stable baseline),yes,53754,53910,95418,4295
Izar,Eps,Boo,14.749784,27.074222,2.35,2.35,HYG v4.1 catalog V (stable baseline),no,71879,72105,129988,5505
Enif,Eps,Peg,21.736433,9.875011,2.38,2.38,HYG v4.1 catalog V (stable baseline),no,106972,107315,206778,8308
,Kap,Sco,17.708132,-39.029983,2.39,2.39,HYG v4.1 catalog V (stable baseline),no,86403,86670,160578,6580
Ankaa,Alp,Phe,0.438056,-42.305981,2.4,2.4,HYG v4.1 catalog V (stable baseline),yes,2076,2081,2261,99
Phecda,Gam,UMa,11.897168,53.69476,2.41,2.41,HYG v4.1 catalog V (stable baseline),no,57828,58001,103287,4554
Sabik,Eta,Oph,17.172968,-15.72491,2.43,2.43,HYG v4.1 catalog V (stable baseline),no,83755,84012,155125,6378
Scheat,Bet,Peg,23.062901,28.082789,2.44,2.44,HYG v4.1 catalog V (stable baseline),yes,113521,113881,217906,8775
Alderamin,Alp,Cep,21.30963,62.585573,2.45,2.45,HYG v4.1 catalog V (stable baseline),yes,104861,105199,203280,8162
Aludra,Eta,CMa,7.401584,-29.303104,2.45,2.45,HYG v4.1 catalog V (stable baseline),no,35806,35904,58350,2827
Markeb,Kap,Vel,9.368562,-55.010668,2.47,2.47,HYG v4.1 catalog V (stable baseline),no,45809,45941,81188,3734
Aljanah,Eps,Cyg,20.770178,33.970256,2.48,2.48,HYG v4.1 catalog V (stable baseline),no,102157,102488,197989,7949
Markab,Alp,Peg,23.079348,15.205264,2.49,2.49,HYG v4.1 catalog V (stable baseline),yes,113603,113963,218045,8781
