iso_week,monday_utc,sun,moon,mercury,venus,mars,jupiter,saturn,uranus,neptune,ceres
2026-W31,2026-07-27,♌ 4°01′,♑ 5°05′,♋ 16°46′,♍ 18°49′,♊ 19°41′,♌ 5°51′,♈ 14°45′,♊ 4°50′,♈ 4°19′,♊ 23°43′
2026-W32,2026-08-03,♌ 10°42′,♈ 1°51′,♋ 21°19′,♍ 26°08′,♊ 24°25′,♌ 7°24′,♈ 14°42′,♊ 5°04′,♈ 4°14′,♊ 26°24′
2026-W33,2026-08-10,♌ 17°25′,♋ 9°58′,♌ 0°30′,♎ 3°12′,♊ 29°06′,♌ 8°57′,♈ 14°35′,♊ 5°16′,♈ 4°08′,♊ 29°02′
2026-W34,2026-08-17,♌ 24°08′,♎ 18°27′,♌ 13°05′,♎ 10°00′,♋ 3°43′,♌ 10°29′,♈ 14°22′,♊ 5°26′,♈ 4°00′,♋ 1°36′
2026-W35,2026-08-24,♍ 0°52′,♑ 13°25′,♌ 27°05′,♎ 16°25′,♋ 8°16′,♌ 12°00′,♈ 14°05′,♊ 5°34′,♈ 3°51′,♋ 4°07′
2026-W36,2026-08-31,♍ 7°38′,♈ 11°53′,♍ 10°48′,♎ 22°22′,♋ 12°46′,♌ 13°29′,♈ 13°44′,♊ 5°39′,♈ 3°41′,♋ 6°33′
2026-W37,2026-09-07,♍ 14°24′,♋ 19°58′,♍ 23°39′,♎ 27°43′,♋ 17°10′,♌ 14°57′,♈ 13°19′,♊ 5°41′,♈ 3°31′,♋ 8°53′
2026-W38,2026-09-14,♍ 21°13′,♎ 26°25′,♎ 5°31′,♏ 2°16′,♋ 21°31′,♌ 16°22′,♈ 12°51′,♊ 5°42′,♈ 3°20′,♋ 11°08′
2026-W39,2026-09-21,♍ 28°02′,♑ 21°21′,♎ 16°29′,♏ 5°48′,♋ 25°46′,♌ 17°44′,♈ 12°21′,♊ 5°39′,♈ 3°08′,♋ 13°16′
2026-W40,2026-09-28,♎ 4°54′,♈ 21°28′,♎ 26°37′,♏ 7°58′,♋ 29°56′,♌ 19°03′,♈ 11°49′,♊ 5°34′,♈ 2°57′,♋ 15°16′
2026-W41,2026-10-05,♎ 11°46′,♌ 0°38′,♏ 5°48′,♏ 8°26′,♌ 4°00′,♌ 20°18′,♈ 11°16′,♊ 5°27′,♈ 2°45′,♋ 17°08′
2026-W42,2026-10-12,♎ 18°41′,♏ 4°35′,♏ 13°41′,♏ 7°00′,♌ 7°58′,♌ 21°28′,♈ 10°43′,♊ 5°18′,♈ 2°34′,♋ 18°49′
2026-W43,2026-10-19,♎ 25°37′,♑ 29°10′,♏ 19°21′,♏ 3°48′,♌ 11°49′,♌ 22°34′,♈ 10°11′,♊ 5°06′,♈ 2°23′,♋ 20°18′
2026-W44,2026-10-26,♏ 2°35′,♉ 0°15′,♏ 20°47′,♎ 29°37′,♌ 15°33′,♌ 23°33′,♈ 9°41′,♊ 4°53′,♈ 2°13′,♋ 21°35′
2026-W45,2026-11-02,♏ 9°35′,♌ 11°28′,♏ 15°30′,♎ 25°46′,♌ 19°07′,♌ 24°27′,♈ 9°13′,♊ 4°38′,♈ 2°04′,♋ 22°36′
2026-W46,2026-11-09,♏ 16°36′,♏ 13°15′,♏ 7°07′,♎ 23°23′,♌ 22°32′,♌ 25°13′,♈ 8°49′,♊ 4°22′,♈ 1°56′,♋ 23°22′
2026-W47,2026-11-16,♏ 23°38′,♒ 7°13′,♏ 5°31′,♎ 22°57′,♌ 25°46′,♌ 25°52′,♈ 8°29′,♊ 4°05′,♈ 1°49′,♋ 23°49′
2026-W48,2026-11-23,♐ 0°42′,♉ 8°19′,♏ 11°22′,♎ 24°24′,♌ 28°47′,♌ 26°23′,♈ 8°13′,♊ 3°48′,♈ 1°44′,♋ 23°57′
2026-W49,2026-11-30,♐ 7°47′,♌ 21°47′,♏ 20°36′,♎ 27°27′,♍ 1°34′,♌ 26°45′,♈ 8°02′,♊ 3°30′,♈ 1°40′,♋ 23°44′
2026-W50,2026-12-07,♐ 14°53′,♏ 22°20′,♐ 0°58′,♏ 1°46′,♍ 4°03′,♌ 26°58′,♈ 7°57′,♊ 3°13′,♈ 1°37′,♋ 23°11′
2026-W51,2026-12-14,♐ 22°00′,♒ 15°44′,♐ 11°41′,♏ 7°02′,♍ 6°13′,♌ 27°01′,♈ 7°56′,♊ 2°56′,♈ 1°37′,♋ 22°18′
2026-W52,2026-12-21,♐ 29°07′,♉ 16°16′,♐ 22°32′,♏ 13°01′,♍ 7°59′,♌ 26°55′,♈ 8°01′,♊ 2°40′,♈ 1°38′,♋ 21°07′
2026-W53,2026-12-28,♑ 6°15′,♍ 1°04′,♑ 3°32′,♏ 19°33′,♍ 9°20′,♌ 26°40′,♈ 8°12′,♊ 2°26′,♈ 1°41′,♋ 19°41′
